cat,min_r_ab,epsA0,epsAf,dEpsA,epsB0,epsBf,dEpsB,aA0,aAf,eA0,eAf,aB0,aBf,eB0,eBf,A_bef,A_aft,B_bef,B_aft,e_drift_scan,m_B,v_inf,b_impact,incoming_angle,A_phase,score
no_encounter,0.6778020895459044,-0.5139081889251633,-0.5301385795304354,-0.016230390605272094,0.11470592246969125,0.11592972888702721,0.0012238064173359653,0.9739093689999248,0.9440927699382159,0.03538153176276108,0.007571159522169229,-4.5333317478650645,-4.48547585672987,1.0178984052094076,1.0181946733991205,True,True,False,False,3.0344677585272948e-09,0.04,0.45,0.6,0.8,4.5,-1.0
no_encounter,0.7863317421319576,-0.49963749999999996,-0.5244571626652035,-0.024819662665203523,0.1155274288993558,0.11598080653043272,0.00045337763107691775,1.0017262515323608,0.9543200772710259,0.026925824035672067,0.11474165566559817,-4.501095583569242,-4.48350046491145,1.0425224743578732,1.0471127267224964,True,True,False,False,2.9016736596185996e-09,0.04,0.45,0.9,0.0,0.0,-1.0
no_encounter,0.8564899430395864,-0.47277081507769914,-0.3646550011649772,0.10811581391272196,0.11622526487136361,0.11315091079314327,-0.0030743540782203482,1.0586524887703646,1.3725301953929978,0.05543381032609023,0.20949446048447515,-4.474070251210253,-4.595632473084,1.0419191424177388,1.0395451582887973,True,True,False,False,3.233638655744696e-09,0.04,0.45,0.9,0.0,1.5,-1.0
no_encounter,0.759670730346381,-0.49583655178101727,-0.44978451250018675,0.046052039280830515,0.1156261548271216,0.11373469619256633,-0.001891458634555268,1.0094052126698443,1.1127550773544967,0.028090658035131062,0.03726053293883812,-4.497252380116573,-4.572043689461115,1.0405165027749816,1.0406811123401853,True,True,False,False,3.2813770769207523e-09,0.04,0.45,0.9,0.0,3.0,-1.0
perturbation,0.1744233687070425,-0.5259664480409114,-0.8671917571506387,-0.34122530910972726,0.11484356011907237,0.12430992937880611,0.009466369259733737,0.9515816110784873,0.5771503198375751,0.05121282402092309,0.5879890483929169,-4.527898642822048,-4.183093036883794,1.0409136592107306,1.0388788516975087,True,True,False,False,7.948863564956924e-09,0.04,0.45,0.9,0.0,4.5,0.21250193751953922
no_encounter,0.6985027470596451,-0.5189588803879908,-0.6083411487796159,-0.08938226839162511,0.11502557486330406,0.11783136911207714,0.002805794248773086,0.9644309383930566,0.8227291561717394,0.041523801455287834,0.16096820436560694,-4.52073376393003,-4.413086293730441,1.0419426949997113,1.0376482509011995,True,True,False,False,1.531411056589932e-09,0.04,0.45,0.9,0.8,0.0,-1.0
no_encounter,0.8483922995195068,-0.4822860407377203,-0.4618466055261115,0.020439435211608792,0.11597811615292147,0.11440502861377855,-0.0015730875391429255,1.037765885229477,1.0836931440252906,0.04161791442259381,0.0958657616879506,-4.483604469953285,-4.545254752354242,1.0425144424562711,1.0414560977618508,True,True,False,False,1.1309814289783607e-09,0.04,0.45,0.9,0.8,1.5,-1.0
perturbation,0.3136754514098927,-0.47786133226587957,-0.17205690663206774,0.3058044256338118,0.11609304364569659,0.10792354547273153,-0.008169498172965056,1.0473749730424398,2.908921297011842,0.04780280080566422,0.6327960625864099,-4.4791658799728244,-4.8182256959987075,1.0411673348556267,1.0357267176396645,True,True,False,False,1.0109765889421237e-09,0.04,0.45,0.9,0.8,3.0,2.872590815229591
no_encounter,0.782316716391937,-0.5139081889251633,-0.5678072212387175,-0.053899032313554196,0.11515676165454633,0.11714028767433043,0.0019835260197841043,0.9739093689999248,0.8814611390607513,0.03538153176276108,0.045959388445318015,-4.515583735846315,-4.439121760104319,1.040422858695754,1.046836589506327,True,True,False,False,1.3799708670540183e-09,0.04,0.45,0.9,0.8,4.5,-1.0
perturbation,0.2268824548262896,-0.4994615,-0.6349025504100703,-0.13544105041007026,0.23450342889935588,0.2372047075187545,0.002701278619398617,1.0020792393407698,0.7883099535145,0.0328176781628438,0.29595482669770096,-2.2174515845701066,-2.19219932622495,1.1181154165977845,1.1191860010073498,True,True,False,False,1.6523138346956609e-09,0.04,0.65,-0.9,0.0,0.0,1.1477645572982935
